Code,Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Coryza,Low_back_weakness,Emotional_symptoms,,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Itching_of_skin,Feeling_ill,Coryza,,,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Coryza,Low_back_weakness,Emotional_symptoms,,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Itching_of_skin,Feeling_ill,Coryza,Low_back_weakness,Emotional_symptoms,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Coryza,Low_back_weakness,Emotional_symptoms,,,
1,Anemia of chronic disease,Weakness,Fatigue,Dizziness,Vomiting,Weight_gain,Itching_of_skin,Feeling_ill,Coryza,,,
1,Anemia of chronic disease,Weakness,Fatigue,Weight_gain,Chills,Itching_of_skin,Coryza,Low_back_weakness,Emotional_symptoms,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Temper_problems,Fears_and_phobias,Slurring_words,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Temper_problems,Fears_and_phobias,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Insomnia,Excessive_anger,Low_self-esteem,Temper_problems,Fears_and_phobias,Slurring_words,,,
2,Dysthymic disorder,Depression,Depressive_or_psychotic_symptoms,Low_self-esteem,Disturbance_of_memory,Temper_problems,Slurring_words,Loss_of_sex_drive,Antisocial_behavior,,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Penis_pain,Throat_swelling,Difficulty_in_swallowing,,,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Penis_pain,Throat_swelling,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,,
3,Scarlet fever,Skin_rash,Sore_throat,Cough,Coryza,Skin_swelling,Penis_pain,Throat_swelling,Difficulty_in_swallowing,,,
3,Scarlet fever,Skin_rash,Sore_throat,Skin_swelling,Groin_pain,Penis_pain,Difficulty_in_swallowing,Sinus_congestion,Mouth_pain,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Leg_swelling,Fluid_retention,Recent_pregnancy,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Insomnia,Heartburn,Leg_swelling,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Leg_swelling,Fluid_retention,Recent_pregnancy,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Insomnia,Heartburn,Leg_swelling,Fluid_retention,Recent_pregnancy,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Leg_swelling,Fluid_retention,Recent_pregnancy,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Difficulty_breathing,Weakness,Fatigue,Insomnia,Heartburn,Leg_swelling,,,
4,Hypertensive heart disease,Palpitations,Sharp_chest_pain,Fatigue,Chest_tightness,Insomnia,Leg_swelling,Fluid_retention,Recent_pregnancy,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Slurring_words,Excessive_anger,Hostile_behavior,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Hostile_behavior,,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Slurring_words,Excessive_anger,Hostile_behavior,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Hostile_behavior,,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Depression,Depressive_or_psychotic_symptoms,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,
5,Drug abuse (barbiturates),Drug_abuse,Anxiety_and_nervousness,Abnormal_involuntary_movements,Delusions_or_hallucinations,Slurring_words,Excessive_anger,Hostile_behavior,,,,
